Market_Cap_B_USD,Revenue_2024_M_USD,EV_Revenue_Multiple,Revenue_Growth_3Y_%,EBITDA_Margin_%,Sector,CAGR_2024_2030_%,Market_Size_2030_B
3460,283137,10.5,15.2,35.1,Cloud Computing,13.4,1266.0
3464,390345,13.9,16.75,22.65,E-commerce,4.6,8148.0
29,913,31.8,28.9,65.3,FinTech,17.8,882.0
5609,474345,16.95,35.9,43.35,Inteligencia Artificial,28.1,826.0
4440,1578340,6.11,13.65,20.57,Otros,,
1251,96773,12.9,47.2,19.3,Robotics,34.2,218.0
1287,103410,13.05,13.65,38.4,Semiconductores,15.8,1380.0
1346,134902,10.0,18.2,38.4,Streaming Media,4.9,247.0
