Region,Market_Cap_B_USD_sum,Market_Cap_B_USD_mean,Market_Cap_B_USD_count,Revenue_2024_M_USD_sum,Revenue_2024_M_USD_mean,EV_Revenue_Multiple_mean,Revenue_Growth_3Y_%_mean,EBITDA_Margin_%_mean,AI_Exposure_Score_mean,Innovation_Index,Efficiency_Index
Asia-Pacífico,2168,361.33,6,938603,156433.83,3.32,3.03,20.32,3.17,1.3133199999999998,24.240192771084338
Europa,733,183.25,4,67302,16825.5,18.12,19.05,38.17,3.5,1.6574000000000002,25.109505518763797
Norte América,17985,1383.46,13,2056260,158173.85,11.11,25.13,28.78,3.77,1.71962,20.8683600360036
